"NDCNUM","THRCLDS","THRDTDS","ROADS"
"00002231648","Antibiot, Penicillins","Penicillin V","Oral"
"00002231668","Antibiot, Penicillins","Penicillin V","Oral"
"00002231689","Antibiot, Penicillins","Penicillin V","Oral"
"00002237237","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00002306102","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002306115","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002306133","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002306202","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002306215","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002306233","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002312542","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00002312642","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00002317002","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002317030","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002317102","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002317130","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002505718","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002505768","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002505818","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002505868","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002510501","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00002510516","Antibiotics, Misc","Vancomycin & Comb.","Oral"
"00002513048","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002513087","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002513248","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002513287","Antibiot, Cephalosporin & Rel.","Cefaclor","Oral"
"00002513548","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002513587","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002513618","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002513648","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002513687","Antibiot, B-Lactam Antibiotics","Loracarbef","Oral"
"00002535725","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002535810","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002536310","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002700010","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002700101","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium","Injection"
"00002700125","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium","Injection"
"00002700210","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002700310","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium","Injection"
"00002700410","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002701101","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002701110","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002701401","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002701416","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002701810","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002702016","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002702116","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002704001","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002704016","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002706025","Antibiot, Cephalosporin & Rel.","Cefamandole",NA
"00002706101","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706125","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706401","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706410","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706810","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706901","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002706910","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002707216","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002708201","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002708210","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002708301","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002708310","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002709001","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002709016","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002714701","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002714725","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002715210","Antibiot, B-Lactam Antibiotics",NA,NA
"00002715410","Antibiot, B-Lactam Antibiotics",NA,NA
"00002716216","Antibiot, B-Lactam Antibiotics",NA,NA
"00002718501","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002718502","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00002719074","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002719174","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium",NA
"00002720174","Antibiot, Cephalosporin & Rel.","Cefazolin",NA
"00002720274","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002720474","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00002720574","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00002720874","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002720974","Antibiot, Cephalosporin & Rel.","Cefamandole",NA
"00002723001","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723025","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723101","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723125","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723401","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723410","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723801","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723810","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723901","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002723910","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002724101","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002724116","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002724524","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002724624","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002726025","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium","Injection"
"00002726110","Antibiot, Cephalosporin & Rel.","Cephalothin Sodium","Injection"
"00002726525","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002726601","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002726625","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002726825","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002726910","Antibiot, Cephalosporin & Rel.","Cefamandole","Injection"
"00002727101","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727125","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727201","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727210","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727301","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727310","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727401","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727410","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727501","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727516","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727624","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727724","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727801","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727825","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727901","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002727910","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002729001","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002729025","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002729101","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002729110","Antibiot, Cephalosporin & Rel.","Ceftazidime & Comb.","Injection"
"00002729301","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002729325","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002729401","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002729425","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002729701","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002729710","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002729801","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002729810","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002732101","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002732110","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002732125","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002735501","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002738125","Antibiot, Aminoglycosides","Tobramycin & Comb.","Intravenous"
"00002738216","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002746701","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00002898801","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002898925","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00002899425","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002899519","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002950001","Antibiot, Cephalosporin & Rel.","Cefuroxime","Injection"
"00002950425","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002950501","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00002950901","Antibiotics, Misc","Vancomycin & Comb.","Intravenous"
"00003010120","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010150","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010151","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010160","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010920","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010945","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010951","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010955","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010960","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003010970","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003011324","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011350","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011352","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011426","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011450","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011452","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003011550","Antibiot, Penicillins","Penicillin V","Oral"
"00003011551","Antibiot, Penicillins","Penicillin V","Oral"
"00003011575","Antibiot, Penicillins","Penicillin V","Oral"
"00003011650","Antibiot, Penicillins","Penicillin V","Oral"
"00003011651","Antibiot, Penicillins","Penicillin V","Oral"
"00003011675","Antibiot, Penicillins","Penicillin V","Oral"
"00003012250","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003012251","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003012260","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003013450","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003013451","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003013460","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003014720","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003016050","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00003016060","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00003016125","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
"00003016450","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003016550","Antibiot, Penicillins","Penicillin G & Comb.","Oral"
"00003016552","Antibiot, Penicillins","Penicillin G & Comb.","Oral"
"00003016835","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003016850","Antibiot, Penicillins","Penicillin G & Comb.","Oral"
"00003029951","Antibiot, Penicillins","Penicillin G & Comb.","Intramuscular"
"00003030951","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003048850","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00003048860","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00003057240","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00003057250","Anti-Infectives, Misc","Metronidazole & Comb.",NA
"00003060343","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003060350","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003063441","Antibiot, Penicillins","Penicillin G & Comb.","Intravenous"
"00003063460","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003065540","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003065546","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003065560","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003066345","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003066375","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003066805","Antibiot, Penicillins","Penicillin G & Comb.","Intravenous"
"00003067371","Antibiot, Penicillins","Penicillin G & Comb.","Intravenous"
"00003067374","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003068144","Antibiot, Penicillins","Penicillin V","Oral"
"00003068154","Antibiot, Penicillins","Penicillin V","Oral"
"00003068244","Antibiot, Penicillins","Penicillin V","Oral"
"00003068254","Antibiot, Penicillins","Penicillin V","Oral"
"00003073411","Antibiot, Penicillins","Penicillin G & Comb.","Intravenous"
"00003073531","Antibiot, Penicillins","Penicillin G & Comb.","Intravenous"
"00003074339","Antibiot, Penicillins","Penicillin G & Comb.","Oral"
"00003074354","Antibiot, Penicillins","Penicillin G & Comb.","Oral"
"00003074638","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003074653","Antibiot, Penicillins","Penicillin G & Comb.",NA
"00003074950","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003074951","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003074960","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003076340","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003076346","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003076350","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003081240","Antibiot, Tetracyclines","Doxycycline","Oral"
"00003081260","Antibiot, Tetracyclines","Doxycycline","Oral"
"00003081401","Antibiot, Tetracyclines","Doxycycline","Oral"
"00003081405","Antibiot, Tetracyclines","Doxycycline","Oral"
"00003081505","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003081550","Antibiot, Tetracyclines","Tetracycline","Oral"
"00003081560","Antibiot, Tetracyclines","Tetracycline",NA
"00003087450","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003087451","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003087460","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003096909","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003096915","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00003096933","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00003096952","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003096961","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003097220","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00003097241","Antibiot, Penicillins","Ampicillin & Comb.",NA
"00003097247","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003097252","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003097261","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003119320","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003119350","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003119380","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003119420","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003119450","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003119480","Antibiot, Cephalosporin & Rel.","Cephradine","Oral"
"00003119720","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003119810","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003119910","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003147610","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003148110","Antibiot, Cephalosporin & Rel.","Cephradine",NA
"00003161610","Antibiot, Penicillins","Ampicillin & Comb.","Oral"
"00003173725","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173730","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173740","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173745","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173815","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173825","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173830","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173840","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003173845","Antibiot, Penicillins","Amoxicillin & Comb.","Oral"
"00003220130","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003220140","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003220230","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003220240","Antibiot, Cephalosporin & Rel.","Cephalexin","Oral"
"00003223011","Antibiot, B-Lactam Antibiotics","Aztreonam","Intravenous"
"00003223051","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003223101","Antibiot, B-Lactam Antibiotics","Aztreonam","Intravenous"
"00003224011","Antibiot, B-Lactam Antibiotics","Aztreonam","Intravenous"
"00003224051","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003224101","Antibiot, B-Lactam Antibiotics","Aztreonam","Intravenous"
"00003255010","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003255015","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003255020","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003256010","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003256015","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003256016","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003256020","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003257010","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003257015","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003257016","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003257020","Antibiot, B-Lactam Antibiotics","Aztreonam","Injection"
"00003271010","Antibiot, Penicillins","Oxacillin",NA
"00003271110","Antibiot, Penicillins","Oxacillin","Injection"
"00003271210","Antibiot, Penicillins","Oxacillin","Injection"
"00003271220","Antibiot, Penicillins","Oxacillin","Injection"
"00003271310","Antibiot, Penicillins","Oxacillin","Injection"
"00003271320","Antibiot, Penicillins","Oxacillin","Injection"
"00003271410","Antibiot, Penicillins","Oxacillin",NA
"00003271420","Antibiot, Penicillins","Oxacillin",NA
"00003271525","Antibiot, Penicillins","Oxacillin","Injection"
"00003272410","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00003272510","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00003272520","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00003272525","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00003272530","Antibiot, Aminoglycosides","Tobramycin & Comb.","Injection"
"00003291110","Antibiot, Penicillins","Oxacillin",NA
"00003291210","Antibiot, Penicillins","Oxacillin",NA
"00003291220","Antibiot, Penicillins","Oxacillin",NA
"00003291320","Antibiot, Penicillins","Oxacillin",NA
"00003291525","Antibiot, Penicillins","Oxacillin",NA
"00003291610","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003291710","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003291810","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003291820","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003291910","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003291920","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003292010","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003292020","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003292120","Antibiot, Penicillins","Ampicillin & Comb.","Injection"
"00003292730","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00003292830","Antibiot, Cephalosporin & Rel.","Cefazolin","Injection"
"00003294210","Antibiotics, Misc","Clindamycin",NA
"00003294211","Antibiotics, Misc","Clindamycin",NA
"00003294220","Antibiotics, Misc","Clindamycin",NA
"00003294221","Antibiotics, Misc","Clindamycin",NA
"00003294222","Antibiotics, Misc","Clindamycin",NA
"00003298710","Antibiot, Penicillins","Nafcillin","Injection"
"00003298910","Antibiot, Penicillins","Nafcillin","Injection"
"00003298920","Antibiot, Penicillins","Nafcillin","Injection"
"00003299020","Antibiot, Penicillins","Nafcillin",NA
"00003299110","Antibiot, Penicillins","Nafcillin","Injection"
"00003299120","Antibiot, Penicillins","Nafcillin","Injection"
"00003299220","Antibiot, Penicillins","Nafcillin",NA
"00003299325","Antibiot, Penicillins","Nafcillin","Injection"
"00003773199","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003773289","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003773295","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003773299","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003773395","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003773399","Antibiot, Cephalosporin & Rel.","Cefepime HCl","Injection"
"00003870801","Antibiot, Tetracyclines","Doxycycline","Oral"
"00004001201","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine","Oral"
"00004001214","Urinary Anti-Infectives, NEC","Sulfisoxazole/Phenazopyridine","Oral"
"00004012701","Anti-Infectives, Misc","Trimethoprim & Comb.","Oral"
"00004012749","Anti-Infectives, Misc","Trimethoprim & Comb.","Oral"
"00004012754","Anti-Infectives, Misc","Trimethoprim & Comb.",NA
"00004196001","Antibiot, Penicillins",NA,NA
"00004196101","Antibiot, Penicillins",NA,NA
"00004196201","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196202","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196301","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196302","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196339","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Intramuscular"
"00004196401","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196402","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196404","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196405","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196439","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Intramuscular"
"00004196501","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196502","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196503","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004196505","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004197101","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Injection"
"00004200278","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Intravenous"
"00004200378","Antibiot, Cephalosporin & Rel.","Ceftriaxone","Intravenous"
"00005306123","Antibiot, Erythromycn&Macrolid","Erythromycin & Comb.",NA
