COND,DX,ICD,ICD_DESC
Bacterial infection (other),0341,9,SCARLET FEVER
Bacterial infection (other),0363,9,MENINGOCOCC ADRENAL SYND
Bacterial infection (other),03681,9,MENINGOCOCC OPTIC NEURIT
Bacterial infection (other),03689,9,MENINGOCOCCAL INFECT NEC
Bacterial infection (other),0369,9,MENINGOCOCCAL INFECT NOS
Bacterial infection (other),037,9,TETANUS
Bacterial infection (other),0392,9,ABDOMINAL ACTINOMYCOSIS
Bacterial infection (other),0393,9,CERVICOFAC ACTINOMYCOSIS
Bacterial infection (other),0394,9,MADURA FOOT
Bacterial infection (other),0398,9,ACTINOMYCOSIS NEC
Bacterial infection (other),0399,9,ACTINOMYCOSIS NOS
Bacterial infection (other),0400,9,GAS GANGRENE
Bacterial infection (other),0401,9,RHINOSCLEROMA
Bacterial infection (other),0402,9,WHIPPLE-S DISEASE
Bacterial infection (other),0403,9,NECROBACILLOSIS
Bacterial infection (other),04042,9,WOUND BOTULISM (Begin 2007)
Bacterial infection (other),04081,9,TROPICAL PYOMYOSITIS
Bacterial infection (other),04082,9,TOXIC SHOCK SYNDROME (Begin 2002)
Bacterial infection (other),04089,9,BACTERIAL DISEASES NEC
Bacterial infection (other),0410,9,STREPTOCOCCUS INFECT NOS (Begin 1980 End 1992)
Bacterial infection (other),04100,9,STREPTOCOCCUS UNSPEC (Begin 1992)
Bacterial infection (other),04101,9,GROUP A STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),04102,9,GROUP B STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),04103,9,GROUP C STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),04104,9,GROUP D STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),04105,9,GROUP G STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),04109,9,OTHER STREPTOCOCCUS (Begin 1992)
Bacterial infection (other),0411,9,STAPH INFECTION NOS (Begin 1980 End 1992)
Bacterial infection (other),04110,9,STAPH UNSPEC (Begin 1992)
Bacterial infection (other),04111,9,STAPH AUREUS (Begin 1992)
Bacterial infection (other),04112,9,MRSA ELSEWHERE/NOS (Begin 2008)
Bacterial infection (other),04119,9,OTHER STAPH (Begin 1992)
Bacterial infection (other),0412,9,PNEUMOCOCCUS INFECT NOS
Bacterial infection (other),0413,9,KLEBSIELLA INFECT NOS
Bacterial infection (other),0414,9,E. COLI INFECT NOS (end 2011)
Bacterial infection (other),04141,9,Shiga txn-produce E.coli (Begin 2011)
Bacterial infection (other),04142,9,Shga txn prod E.coli NEC (Begin 2011)
Bacterial infection (other),04143,9,Shga txn prod E.coli NOS (Begin 2011)
Bacterial infection (other),04149,9,E.coli infection NEC/NOS (Begin 2011)
Bacterial infection (other),0415,9,H. INFLUENZAE INFECT NOS
Bacterial infection (other),0416,9,PROTEUS INFECTION NOS
Bacterial infection (other),0417,9,PSEUDOMONAS INFECT NOS
Bacterial infection (other),0418,9,BACTERIAL INFECTION NEC (Begin 1980 End 1992)
Bacterial infection (other),04181,9,MYCOPLASMA (Begin 1992)
Bacterial infection (other),04182,9,BACILLUS FRAGILIS (Begin 1992)
Bacterial infection (other),04183,9,CLOSTRID PERFRINGENS (Begin 1992)
Bacterial infection (other),04184,9,OTHER ANAEROBES (Begin 1992)
Bacterial infection (other),04185,9,OTHER GRAM NEG ORGS (Begin 1992)
Bacterial infection (other),04186,9,HELICOBACTER PYLORI INFECTION (Begin 1995)
Bacterial infection (other),04189,9,OTHER SPEC BACTERIA (Begin 1992)
Bacterial infection (other),0419,9,BACTERIAL INFECTION NOS
Bacterial infection (other),390,9,RHEUM FEV W/O HRT INVOLV
Bacterial infection (other),3929,9,RHEUMATIC CHOREA NOS
Bacterial infection (other),7953,9,POSITIVE CULTURE FINDING (End 2002)
Bacterial infection (other),79531,9,NONSPECIFIC POSITIVE FINDINGS/ANTHRAX (Begin 2002)
Bacterial infection (other),79539,9,OTHER NONSPECIFIC POSITIVE CULTURE (Begin 2002)
Bacterial infection (other),V090,9,INFEC-PENICILLIN-RESIST ORGS (Begin 1993)
Bacterial infection (other),V091,9,INFEC-CEPHALOSPORIN-RESIST ORGS (Begin 1993)
Bacterial infection (other),V092,9,INFEC-MACROLIDES-RESIST ORGS (Begin 1993)
Bacterial infection (other),V093,9,INFEC-TETRACYCLINE-RESIST ORGS (Begin 1993)
Bacterial infection (other),V094,9,INFEC-AMINOGLYCOSIDE-RESIST ORGS (Begin 1993)
Bacterial infection (other),V0950,9,INFEC-UNRESIST TO MULT QUINOLONES (Begin 1993)
Bacterial infection (other),V0951,9,INFEC-MULT QUINOLONES-RESIST ORGS (Begin 1993)
Bacterial infection (other),V096,9,INFEC-SULFONAMIDES-RESIST ORGS (Begin 1993)
Bacterial infection (other),V0970,9,INFEC-NOT MULTI-ANTIMYCOBACT-RESIS (Begin 1993)
Bacterial infection (other),V0971,9,INFEC-MULTI-ANTIMYCOBAC-RESIS ORGS (Begin 1993)
Bacterial infection (other),V0980,9,INFEC-OTH ORGS NOT MULTIDRUG-RESIS (Begin 1993)
Bacterial infection (other),V0981,9,INFEC-OTH MULTI-DRUG-RESIST ORGS (Begin 1993)
Bacterial infection (other),V0990,9,INFEC-UNSP ORGS NOT MULTDRUG-RESIS (Begin 1993)
Bacterial infection (other),V0991,9,INFEC-UNSPEC MULTIDRUG-RESIST ORGS (Begin 1993)
Bacterial infection (other),V1204,9,HX METHICLN RESIST STAPH (Begin 2008)
Viral infection,0500,9,VARIOLA MAJOR
Viral infection,0501,9,ALASTRIM
Viral infection,0502,9,MODIFIED SMALLPOX
Viral infection,0509,9,SMALLPOX NOS
Viral infection,0510,9,COWPOX (end 2008)
Viral infection,05101,9,COWPOX (Begin 2008)
Viral infection,05102,9,VACCINIA N/F VACCINATION (Begin 2008)
Viral infection,0511,9,PSEUDOCOWPOX
Viral infection,0512,9,CONTAGIOUS PUSTULAR DERM
Viral infection,0519,9,PARAVACCINIA NOS
Viral infection,0522,9,POSTVARICELLA MYELITIS (Begin 2006)
Viral infection,0527,9,VARICELLA COMPLICAT NEC
Viral infection,0528,9,VARICELLA COMPLICAT NOS
Viral infection,0529,9,VARICELLA UNCOMPLICATED
Viral infection,05310,9,H ZOSTER NERV SYST NOS
Viral infection,05311,9,GENICULATE HERPES ZOSTER
Viral infection,05312,9,POSTHERPES TRIGEM NEURAL
Viral infection,05313,9,POSTHERPES POLYNEUROPATH
Viral infection,05314,9,HERPES ZOSTER MYELITIS (Begin 2006)
Viral infection,05319,9,H ZOSTER NERV SYST NEC
Viral infection,05371,9,H ZOSTER OTITIS EXTERNA
Viral infection,05379,9,H ZOSTER COMPLICATED NEC
Viral infection,0538,9,H ZOSTER COMPLICATED NOS
Viral infection,0539,9,HERPES ZOSTER NOS
Viral infection,0540,9,ECZEMA HERPETICUM
Viral infection,05410,9,GENITAL HERPES NOS
Viral infection,05411,9,HERPETIC VULVOVAGINITIS
Viral infection,05412,9,HERPETIC ULCER OF VULVA
Viral infection,05413,9,HERPETIC INFECT OF PENIS
Viral infection,05419,9,GENITAL HERPES NEC
Viral infection,0542,9,HERPETIC GINGIVOSTOMAT
Viral infection,0546,9,HERPETIC WHITLOW
Viral infection,05471,9,VISCERAL HERPES SIMPLEX
Viral infection,05473,9,H SIMPLEX OTITIS EXTERNA
Viral infection,05474,9,HERPES SIMPLEX MYELITIS (Begin 2006)
Viral infection,05479,9,H SIMPLEX COMPLICAT NEC
Viral infection,0548,9,H SIMPLEX COMPLICAT NOS
Viral infection,0549,9,HERPES SIMPLEX NOS
Viral infection,05579,9,MEASLES COMPLICATION NEC
Viral infection,0558,9,MEASLES COMPLICATION NOS
Viral infection,0559,9,MEASLES UNCOMPLICATED
Viral infection,05600,9,RUBELLA NERVE COMPL NOS
Viral infection,05609,9,RUBELLA NERVE COMPL NEC
Viral infection,05679,9,RUBELLA COMPLICATION NEC
Viral infection,0568,9,RUBELLA COMPLICATION NOS
Viral infection,0569,9,RUBELLA UNCOMPLICATED
Viral infection,0570,9,ERYTHEMA INFECTIOSUM
Viral infection,0578,9,VIRAL EXANTHEMATA NEC
Viral infection,0579,9,VIRAL EXANTHEMATA NOS
Viral infection,05810,9,ROSEOLA INFANTUM NOS (Begin 2007)
Viral infection,05811,9,ROSEOLA INFANT D/T HHV-6 (Begin 2007)
Viral infection,05812,9,ROSEOLA INFANT D/T HHV-7 (Begin 2007)
Viral infection,05881,9,HUMAN HERPESVIRUS 6 INFC (Begin 2007)
Viral infection,05882,9,HUMAN HERPESVIRUS 7 INFC (Begin 2007)
Viral infection,05889,9,HUMAN HERPESVIRS INF NEC (Begin 2007)
Viral infection,05900,9,ORTHOPOXVIRUS INFECT NOS (Begin 2008)
Viral infection,05901,9,MONKEYPOX (Begin 2008)
Viral infection,05909,9,ORTHOPOXVIRUS INFECT NEC (Begin 2008)
Viral infection,05910,9,PARAPOXVIRUS INFECTN NOS (Begin 2008)
Viral infection,05911,9,BOVINE STOMATITIS (Begin 2008)
Viral infection,05912,9,SEALPOX (Begin 2008)
Viral infection,05919,9,PARAPOXVIRUS INFECTN NEC (Begin 2008)
Viral infection,05920,9,YATAPOXVIRUS INFECTN NOS (Begin 2008)
Viral infection,05921,9,TANAPOX (Begin 2008)
Viral infection,05922,9,YABA MONKEY TUMOR VIRUS (Begin 2008)
Viral infection,0598,9,POXVIRUS INFECTIONS NEC (Begin 2008)
Viral infection,0599,9,POXVIRUS INFECTION NOS (Begin 2008)
Viral infection,0600,9,SYLVATIC YELLOW FEVER
Viral infection,0601,9,URBAN YELLOW FEVER
Viral infection,0609,9,YELLOW FEVER NOS
Viral infection,061,9,DENGUE
Viral infection,0650,9,CRIMEAN HEMORRHAGIC FEV
Viral infection,0651,9,OMSK HEMORRHAGIC FEVER
Viral infection,0652,9,KYASANUR FOREST DISEASE
Viral infection,0653,9,TICK-BORNE HEM FEVER NEC
Viral infection,0654,9,MOSQUITO-BORNE HEM FEVER
Viral infection,0658,9,ARTHROPOD HEM FEVER NEC
Viral infection,0659,9,ARTHROPOD HEM FEVER NOS
Viral infection,0660,9,PHLEBOTOMUS FEVER
Viral infection,0661,9,TICK-BORNE FEVER
Viral infection,0663,9,MOSQUITO-BORNE FEVER NEC
Viral infection,0664,9,WEST NILE FEVER (Begin 2002 End 2004)
Viral infection,06640,9,WEST NILE FEVER NOS (Begin 2004)
Viral infection,06642,9,WEST NILE NEURO MAN NEC (Begin 2004)
Viral infection,06649,9,WEST NILE W COMPLIC NEC (Begin 2004)
Viral infection,0668,9,ARTHROPOD VIRUS NEC
Viral infection,0669,9,ARTHROPOD VIRUS NOS
Viral infection,071,9,RABIES
Viral infection,0720,9,MUMPS ORCHITIS
Viral infection,0723,9,MUMPS PANCREATITIS
Viral infection,07272,9,MUMPS POLYNEUROPATHY
Viral infection,07279,9,MUMPS COMPLICATION NEC
Viral infection,0728,9,MUMPS COMPLICATION NOS
Viral infection,0729,9,MUMPS UNCOMPLICATED
Viral infection,0737,9,ORNITHOSIS COMPLICAT NEC
Viral infection,0738,9,ORNITHOSIS COMPLICAT NOS
Viral infection,0739,9,ORNITHOSIS NOS
Viral infection,0740,9,HERPANGINA
Viral infection,0741,9,EPIDEMIC PLEURODYNIA
Viral infection,0743,9,HAND- FOOT & MOUTH DIS
Viral infection,0748,9,COXSACKIE VIRUS NEC
Viral infection,075,9,INFECTIOUS MONONUCLEOSIS
Viral infection,0780,9,MOLLUSCUM CONTAGIOSUM
Viral infection,0781,9,VIRAL WARTS (End 1993)
Viral infection,07810,9,VIRAL WARTS UNSPEC (Begin 1993)
Viral infection,07811,9,CONDYLOMA ACCUMINATUM (Begin 1993)
Viral infection,07812,9,PLANTAR WART (Begin 2008)
Viral infection,07819,9,OTHER SPEC VIRAL WARTS (Begin 1993)
Viral infection,0782,9,SWEATING FEVER
Viral infection,0783,9,CAT-SCRATCH DISEASE
Viral infection,0784,9,FOOT & MOUTH DISEASE
Viral infection,0785,9,CYTOMEGAL INCLUSION DIS
Viral infection,0786,9,HEM NEPHROSONEPHRITIS
Viral infection,0787,9,ARENAVIRAL HEM FEVER
Viral infection,07881,9,EPIDEMIC VERTIGO
Viral infection,07882,9,EPIDEMIC VOMITING SYND
Viral infection,07888,9,OTH SPEC DISEASE DUE TO CHLAMYDIAE (Begin 1993)
Viral infection,07889,9,VIRAL DISEASE NEC
Viral infection,0790,9,ADENOVIRUS INFECT NOS
Viral infection,0791,9,ECHO VIRUS INFECT NOS
Viral infection,0792,9,COXSACKIE VIRUS INF NOS
Viral infection,0793,9,RHINOVIRUS INFECT NOS
Viral infection,0794,9,HUMAN PAPILLOMA VIRUS (Begin 1993)
Viral infection,07950,9,UNSPEC RETROVIRUS (Begin 1993)
Viral infection,07951,9,HTLV TYPE I (Begin 1993)
Viral infection,07952,9,HTLV TYPE II (Begin 1993)
Viral infection,07959,9,OTH SPEC RETROVIRUS (Begin 1993)
Viral infection,0796,9,RESPIR SYNCITIAL VIRUS (Begin 1996)
Viral infection,0798,9,VIRAL INFECTION NEC (End 1993)
Viral infection,07981,9,HANTAVIRUS INFECTION (Begin 1995)
Viral infection,07982,9,SARS-ASSOCIATED CORONAVIRUS (Begin 2003)
Viral infection,07983,9,PARVOVIRUS B19 (Begin 2007)
Viral infection,07988,9,OTH SPEC CHLAMYDIAL INFECTION (Begin 1993)
Viral infection,07989,9,OTH SPEC VIRAL INFECTION (Begin 1993)
Viral infection,0799,9,VIRAL INFECTION NOS (End 1993)
Viral infection,07998,9,CHLAMYDIAL INFECTION NOS (Begin 1993)
Viral infection,07999,9,VIRAL INFECTION NOS (Begin 1993)
Viral infection,7908,9,VIREMIA NOS-
Otitis media,0552,9,POSTMEASLES OTITIS MEDIA
Otitis media,38100,9,AC NONSUP OTITIS MED NOS
Otitis media,38101,9,AC SEROUS OTITIS MEDIA
Otitis media,38102,9,AC MUCOID OTITIS MEDIA
Otitis media,38103,9,AC SANGUIN OTITIS MEDIA
Otitis media,38104,9,AC ALLERGIC SEROUS OM
Otitis media,38105,9,AC ALLERGIC MUCOID OM
Otitis media,38106,9,AC ALLERG SANGUINOUS OM
Otitis media,38110,9,CHR SEROUS OM SIMP/NOS
Otitis media,38119,9,CHR SEROUS OM NEC
Otitis media,38120,9,CHR MUCOID OM SIMP/NOS
Otitis media,38129,9,CHR MUCOID OM NEC
Otitis media,3813,9,CHR NONSUP OM NOS/NEC
Otitis media,3814,9,NONSUPP OTITIS MEDIA NOS
Otitis media,38150,9,EUSTACHIAN SALPING NOS
Otitis media,38151,9,AC EUSTACHIAN SALPING
Otitis media,38152,9,CHR EUSTACHIAN SALPING
Otitis media,38160,9,OBSTR EUSTACH TUBE NOS
Otitis media,38161,9,OSSEOUS EUSTACHIAN OBSTR
Otitis media,38162,9,INTRINSIC EUSTACH OBSTR
Otitis media,38163,9,EXTRINSIC EUSTACH OBSTR
Otitis media,3817,9,PATULOUS EUSTACHIAN TUBE
Otitis media,38181,9,DYSFUNCT EUSTACHIAN TUBE
Otitis media,38189,9,EUSTACHIAN TUBE DIS NEC
Otitis media,3819,9,EUSTACHIAN TUBE DIS NOS
Otitis media,38200,9,AC SUPP OTITIS MEDIA NOS
Otitis media,38201,9,AC SUPP OM W DRUM RUPT
Otitis media,38202,9,AC SUPP OM IN OTH DIS
Otitis media,3821,9,CHR TUBOTYMPAN SUPPUR OM
Otitis media,3822,9,CHR ATTICOANTRAL SUP OM
Otitis media,3823,9,CHR SUP OTITIS MEDIA NOS
Otitis media,3824,9,SUPPUR OTITIS MEDIA NOS
Otitis media,3829,9,OTITIS MEDIA NOS
Otitis media,38300,9,AC MASTOIDITIS W/O COMPL
Otitis media,38301,9,SUBPERI MASTOID ABSCESS
Otitis media,38302,9,AC MASTOIDITIS-COMPL NEC
Otitis media,3831,9,CHRONIC MASTOIDITIS
Otitis media,38320,9,PETROSITIS NOS
Otitis media,38321,9,ACUTE PETROSITIS
Otitis media,38322,9,CHRONIC PETROSITIS
Otitis media,38330,9,POSTMASTOID COMPL NOS
Otitis media,38331,9,POSTMASTOID MUCOSAL CYST
Otitis media,38332,9,POSTMASTOID CHOLESTEATMA
Otitis media,38333,9,POSTMASTOID GRANULATIONS
Otitis media,38381,9,POSTAURICULAR FISTULA
Otitis media,38389,9,DISORDERS OF MASTOID NEC
Otitis media,3839,9,MASTOIDITIS NOS
Otitis media,38420,9,PERFORAT TYMPAN MEMB NOS
Otitis media,38421,9,CENT PERF TYMPANIC MEMB
Otitis media,38422,9,ATTIC PERF TYMPANIC MEMB
Otitis media,38423,9,MARGINAL PERF TYMP NEC
Otitis media,38424,9,MULT PERF TYMPANIC MEMB
Otitis media,38425,9,TOTAL PERF TYMPANIC MEMB
Otitis media,38481,9,ATROPHIC FLACCID TYMPAN
Otitis media,38482,9,ATROPHIC NONFLACCID TYMP
Otitis media,3849,9,DIS TYMPANIC MEMB NOS
Otitis media,38500,9,TYMPANOSCLEROSIS NOS
Otitis media,38501,9,TYMPANOSCL-TYMPANIC MEMB
Otitis media,38502,9,TYMPNOSCLER-TYMP/OSSICLE
Otitis media,38503,9,TYMPANOSCLER-ALL PARTS
Otitis media,38509,9,TYMPNSCLR-OTH SITE COMB
Otitis media,38510,9,ADHESIVE MID EAR DIS NOS
Otitis media,38511,9,ADHESION TYMPANUM-INCUS
Otitis media,38512,9,ADHESION TYMPANUM-STAPES
Otitis media,38513,9,ADHESION TYMP-PROMONTOR
Otitis media,38519,9,ADHESIVE MID EAR DIS NEC
Otitis media,38521,9,ANKYLOSIS MALLEUS
Otitis media,38522,9,ANKYLOSIS EAR OSSICL NEC
Otitis media,38523,9,DISLOCATION EAR OSSICLE
Otitis media,38524,9,PARTIAL LOSS EAR OSSICLE
Otitis media,3870,9,OTOSCLER-OVAL WND NONOBL
Otitis media,3871,9,OTOSCLER-OVAL WNDW OBLIT
Otitis media,3872,9,COCHLEAR OTOSCLEROSIS
Otitis media,3878,9,OTOSCLEROSIS NEC
Otitis media,3879,9,OTOSCLEROSIS NOS
Pneumonia,00322,9,SALMONELLA PNEUMONIA
Pneumonia,0203,9,PRIMARY PNEUMONIC PLAGUE
Pneumonia,0204,9,SECONDARY PNEUMON PLAGUE
Pneumonia,0205,9,PNEUMONIC PLAGUE NOS
Pneumonia,0212,9,PULMONARY TULAREMIA
Pneumonia,0221,9,PULMONARY ANTHRAX
Pneumonia,0310,9,PULMONARY MYCOBACTERIA
Pneumonia,0391,9,PULMONARY ACTINOMYCOSIS
Pneumonia,0521,9,VARICELLA PNEUMONITIS
Pneumonia,0551,9,POSTMEASLES PNEUMONIA
Pneumonia,0730,9,ORNITHOSIS PNEUMONIA
Pneumonia,0830,9,Q FEVER
Pneumonia,1124,9,CANDIDIASIS OF LUNG
Pneumonia,1140,9,PRIMARY COCCIDIOIDOMYCOS
Pneumonia,1144,9,CHRONIC PULMON COCCIDIOIDOMYCOSIS (Begin 1993)
Pneumonia,1145,9,UNSPEC PULMON COCCIDIOIDOMYCOSIS (Begin 1993)
Pneumonia,11505,9,HISTOPLASM CAPS PNEUMON
Pneumonia,11515,9,HISTOPLASM DUB PNEUMONIA
Pneumonia,11595,9,HISTOPLASMOSIS PNEUMONIA
Pneumonia,1304,9,TOXOPLASMA PNEUMONITIS
Pneumonia,1363,9,PNEUMOCYSTOSIS
Pneumonia,4800,9,ADENOVIRAL PNEUMONIA
Pneumonia,4801,9,RESP SYNCYT VIRAL PNEUM
Pneumonia,4802,9,PARINFLUENZA VIRAL PNEUM
Pneumonia,4803,9,PNEUMONIA DUE TO SARS-ASSOCIATED CORONAVIRUS (Begin 2003)
Pneumonia,4808,9,VIRAL PNEUMONIA NEC
Pneumonia,4809,9,VIRAL PNEUMONIA NOS
Pneumonia,481,9,PNEUMOCOCCAL PNEUMONIA
Pneumonia,4820,9,K. PNEUMONIAE PNEUMONIA
Pneumonia,4821,9,PSEUDOMONAL PNEUMONIA
Pneumonia,4822,9,H.INFLUENZAE PNEUMONIA
Pneumonia,4823,9,STREPTOCOCCAL PNEUMONIA (Begin 1980 End 1992)
Pneumonia,48230,9,STREP PNEUMONIA UNSPEC (Begin 1992)
Pneumonia,48231,9,GRP A STREP PNEUMONIA (Begin 1992)
Pneumonia,48232,9,GRP B STREP PNEUMONIA (Begin 1992)
Pneumonia,48239,9,OTH STREP PNEUMONIA (Begin 1992)
Pneumonia,4824,9,STAPHYLOCOCCAL PNEUMONIA (End 1998)
Pneumonia,48240,9,STAPH PNEUMONIA UNSP (Begin 1998)
Pneumonia,48241,9,STAPH AUREUS PNEUMON (Begin 1998)
Pneumonia,48242,9,METH RES PNEU D/T STAPH (Begin 2008)
Pneumonia,48249,9,STAPH PNEUMON OTH (Begin 1998)
Pneumonia,4828,9,BACTERIAL PNEUMONIA NEC (Begin 1980 End 1992)
Pneumonia,48281,9,ANAEROBIC PNEUMONIA (Begin 1992)
Pneumonia,48282,9,E COLI PNEUMONIA (Begin 1992)
Pneumonia,48283,9,OTH GRAM NEG PNEUMONIA (Begin 1992)
Pneumonia,48284,9,LEGIONNAIRES DX (Begin 1997)
Pneumonia,48289,9,BACT PNEUMONIA NEC (Begin 1992)
Pneumonia,4829,9,BACTERIAL PNEUMONIA NOS
Pneumonia,483,9,PNEUMONIA: ORGANISM NEC (Begin 1980 End 1992)
Pneumonia,4830,9,MYCOPLASMA PNEUMONIA (Begin 1992)
Pneumonia,4831,9,CHLAMYDIA PNEUMONIA (Begin 1996)
Pneumonia,4838,9,OTH SPEC ORG PNEUMONIA (Begin 1992)
Pneumonia,4841,9,PNEUM W CYTOMEG INCL DIS
Pneumonia,4843,9,PNEUMONIA IN WHOOP COUGH
Pneumonia,4845,9,PNEUMONIA IN ANTHRAX
Pneumonia,4846,9,PNEUM IN ASPERGILLOSIS
Pneumonia,4847,9,PNEUM IN OTH SYS MYCOSES
Pneumonia,4848,9,PNEUM IN INFECT DIS NEC
Pneumonia,485,9,BRONCOPNEUMONIA ORG NOS
Pneumonia,486,9,PNEUMONIA- ORGANISM NOS
Pneumonia,5130,9,ABSCESS OF LUNG
Pneumonia,5171,9,RHEUMATIC PNEUMONIA
Influenza,4870,9,INFLUENZA WITH PNEUMONIA
Influenza,4871,9,FLU W RESP MANIFEST NEC
Influenza,4878,9,FLU W MANIFESTATION NEC
Influenza,488,9,FLU D/T AVIAN FLU VIRUS (Begin 2007) (end 2009)
Influenza,4880,9,Flu dt iden avian virus (Begin 2009) (end 2010)
Influenza,48801,9,Flu dt iden avian w pneu (Begin 2010)
Influenza,48802,9,Flu dt avian w oth resp (Begin 2010)
Influenza,48809,9,Flu dt avian manfest NEC (Begin 2010)
Influenza,4881,9,Flu dt iden H1N1 virus (Begin 2009) (end 2010)
Influenza,48811,9,Flu dt H1N1 flu w pneu (Begin 2010)
Influenza,48812,9,Flu dt H1N1 w oth resp (Begin 2010)
Influenza,48819,9,Flu dt H1N1 manfest NEC (Begin 2010)
Influenza,48881,9,Flu dt nvl A vrs w pneu (Begin 2011)
Influenza,48882,9,Flu dt nvl A w oth resp (Begin 2011)
Influenza,48889,9,Flu dt novel A w oth man (Begin 2011)
Bronchitis (acute),4660,9,ACUTE BRONCHITIS
Bronchitis (acute),4661,9,ACUTE BRONCHIOLITIS (End 1996)
Bronchitis (acute),46611,9,RSV BRONCHIOLITIS (Begin 1996)
Bronchitis (acute),46619,9,OTH ACUTE BRONCHIOL (Begin 1996)
URI (other),0320,9,FAUCIAL DIPHTHERIA
URI (other),0321,9,"NASOPHARYNX DIPHTHERIA"
URI (other),0322,9,ANT NASAL DIPHTHERIA
URI (other),0323,9,LARYNGEAL DIPHTHERIA
Strep pharyngitis,0340,9,STREP SORE THROAT
URI (other),460,9,ACUTE NASOPHARYNGITIS
Sinusitis,4610,9,AC MAXILLARY SINUSITIS
Sinusitis,4611,9,AC FRONTAL SINUSITIS
Sinusitis,4612,9,AC ETHMOIDAL SINUSITIS
Sinusitis,4613,9,AC SPHENOIDAL SINUSITIS
Sinusitis,4618,9,OTHER ACUTE SINUSITIS
Sinusitis,4619,9,ACUTE SINUSITIS NOS
URI (other),462,9,ACUTE PHARYNGITIS
URI (other),4640,9,ACUTE LARYNGITIS (End 2001)
URI (other),46400,9,ACUTE LARYNGITIS- W/O OBSTR (Begin 2001)
URI (other),46401,9,ACUTE LARYNGITIS- W OBSTR (Begin 2001)
URI (other),46410,9,AC TRACHEITIS NO OBSTRUC
URI (other),46411,9,AC TRACHEITIS W OBSTRUCT
URI (other),46420,9,AC LARYNGOTRACH NO OBSTR
URI (other),46421,9,AC LARYNGOTRACH W OBSTR
URI (other),46430,9,AC EPIGLOTTITIS NO OBSTR
URI (other),46431,9,AC EPIGLOTTITIS W OBSTR
URI (other),4644,9,CROUP
URI (other),46450,9,SUPRAGLOTTIS NOS- W/O OBSTR (Begin 2001)
URI (other),46451,9,SUPRAGLOTTIS NOS- W/ OBSTR (Begin 2001)
URI (other),4650,9,ACUTE LARYNGOPHARYNGITIS
URI (other),4658,9,ACUTE URI MULT SITES NEC
URI (other),4659,9,ACUTE URI NOS
Sinusitis,4730,9,CHR MAXILLARY SINUSITIS
Sinusitis,4731,9,CHR FRONTAL SINUSITIS
Sinusitis,4732,9,CHR ETHMOIDAL SINUSITIS
Sinusitis,4733,9,CHR SPHENOIDAL SINUSITIS
Sinusitis,4738,9,CHRONIC SINUSITIS NEC
Sinusitis,4739,9,CHRONIC SINUSITIS NOS-
URI (other),78491,9,POSTNASAL DRIP (Begin 2006)
Asthma,49300,9,EXT ASTHMA W/O STAT ASTH
Asthma,49301,9,EXT ASTHMA W STATUS ASTH
